,Region,Domain,Facility_ID
503,Brno-město,Klinický logoped,6734
504,Brno-město,Klinický logoped,6994
505,Brno-město,Klinický logoped,7958
506,Brno-město,Klinický logoped,10558
507,Brno-město,Klinický logoped,10819
508,Brno-město,Klinický logoped,14153
509,Brno-město,Klinický logoped,14161
510,Brno-město,Klinický logoped,14162
511,Brno-město,Klinický logoped,15038
512,Brno-město,Klinický logoped,15155
513,Brno-město,Klinický logoped,19755
514,Brno-město,Klinický logoped,21634
515,Brno-město,Klinický logoped,21635
516,Brno-město,Klinický logoped,21636
517,Brno-město,Klinický logoped,21637
518,Brno-město,Klinický logoped,21693
519,Brno-město,Klinický logoped,23758
520,Brno-město,Klinický logoped,23770
521,Brno-město,Klinický logoped,30296
522,Brno-město,Klinický logoped,31870
523,Brno-město,Klinický logoped,32045
524,Brno-město,Klinický logoped,43353
525,Brno-město,Klinický logoped,43354
526,Brno-město,Klinický logoped,43357
527,Brno-město,Klinický logoped,43358
528,Brno-město,Klinický logoped,46375
529,Brno-město,Klinický logoped,47173
530,Brno-město,Klinický logoped,47174
531,Brno-město,Klinický logoped,47423
532,Brno-město,Klinický logoped,47424
533,Brno-město,Klinický logoped,47425
534,Brno-město,Klinický logoped,49355
535,Brno-město,Klinický logoped,59909
536,Brno-město,Klinický logoped,60608
537,Brno-město,Klinický psycholog,597
538,Brno-město,Klinický psycholog,1454
539,Brno-město,Klinický psycholog,1761
540,Brno-město,Klinický psycholog,2400
541,Brno-město,Klinický psycholog,3066
542,Brno-město,Klinický psycholog,3277
543,Brno-město,Klinický psycholog,3391
544,Brno-město,Klinický psycholog,3411
545,Brno-město,Klinický psycholog,4217
546,Brno-město,Klinický psycholog,4219
547,Brno-město,Klinický psycholog,5309
548,Brno-město,Klinický psycholog,6504
549,Brno-město,Klinický psycholog,6555
550,Brno-město,Klinický psycholog,6557
551,Brno-město,Klinický psycholog,6785
552,Brno-město,Klinický psycholog,6793
553,Brno-město,Klinický psycholog,7396
